web-scraper-order,web-scraper-start-url,computer_condition,brand,price,processor_ram_storage
"1732296969-1","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296969-2","https://www.expat-dakar.com/ordinateurs?page=245","Réconditionné","Dell","200 000 F Cfa","Gamer Dell Precision T5400 .7400"
"1732296969-3","https://www.expat-dakar.com/ordinateurs?page=245","Venant","HP","180 000 F Cfa","HP ProBook 650 G1 core i7"
"1732296969-4","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","Toshiba","18 000 F Cfa","Disk HDD 500G ou 1T"
"1732296969-5","https://www.expat-dakar.com/ordinateurs?page=245","Réconditionné","Dell","200 000 F Cfa","DELL 5Ghz.16go.2go graphique"
"1732296969-6","https://www.expat-dakar.com/ordinateurs?page=245","D'occasion","Dell","40 000 F Cfa","Core2.250go.19.Ordinateur Complet"
"1732296969-7","https://www.expat-dakar.com/ordinateurs?page=245","D'occasion","Dell","350 000 F Cfa","Dell Gtx1050Ti 16go Xeon 24"""
"1732296969-8","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","HP","575 000 F Cfa","HP - Hewlett Packard ALL-IN-ONE  core i5"
"1732296978-9","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296978-10","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","55 000 F Cfa","Ordinateur Core i5+19"
"1732296978-11","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","200 000 F Cfa","ECRAN MONITEUR HP 27 POUCES"
"1732296978-12","https://www.expat-dakar.com/ordinateurs?page=244","Venant","HP","200 000 F Cfa","HP ProBook 650 G2 i7"
"1732296978-13","https://www.expat-dakar.com/ordinateurs?page=244","Venant","Lenovo","35 000 F Cfa","Unité central"
"1732296978-14","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","350 000 F Cfa","Core I7.16go.gtx1050.24"
"1732296978-15","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","35 000 F Cfa","Ordinateur+17ecran.core2.2go.80go"
"1732296978-16","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","85 000 F Cfa","Dell core i5"
"1732296978-17","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","40 000 F Cfa","Ordinateur Dual core.+19"""
"1732296978-18","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","35 000 F Cfa","Ordinateur+19ecran.core2.2go.80go"
"1732296978-19","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","600 000 F Cfa","All in one hp 24 tactile core i5"
"1732296986-20","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296986-21","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","HP","90 000 F Cfa","Core i7.23pouces"
"1732296986-22","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","Dell","350 000 F Cfa","GAMER I7 GTX1650"
"1732296986-23","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","530 000 F Cfa","Ordinateur de bureau HP 290 G4 I5 10TH"
"1732296986-24","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","Dell","80 000 F Cfa","Ordi Portable Dell Core I5"
"1732296986-25","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","HP","150 000 F Cfa","HP PROBOOK 640 G4 I5"
"1732296986-26","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","485 000 F Cfa","Ordinateur de bureau ALL IN ONE HP AIO 200 G4 i3 10th"
"1732296986-27","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","440 000 F Cfa","ordinateur de bureau HP 290 G4 MT I7 10TH SANS ECRAN"
"1732296986-28","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","HP","45 000 F Cfa","HP Core I3 ordinateur complet"
"1732296986-29","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","Autre","35 000 F Cfa","Pointeuse Biométrique d'empreintes digitales"
"1732296986-30","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","Dell","350 000 F Cfa","GAMER DELL PRECISION 5810 XEON.NVIDIA 4go.32go"
"1732296995-31","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296995-32","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","350 000 F Cfa","HP Core I7 neuf + 19"""
"1732296995-33","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","Acer","70 000 F Cfa","Core I5 8go 500go 22"" Wifi"
"1732296995-34","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","40 000 F Cfa","Core 2.dual.+19"""
"1732296995-35","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","55 000 F Cfa","Ordinateur Core I5"
"1732296995-36","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","Lenovo","60 000 F Cfa","UC Lenovo core i5"
"1732296995-37","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","500 000 F Cfa","Hp i7.16go+22""+4go nvidia"
"1732296995-38","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","Lenovo","40 000 F Cfa","Ordinateur+19 pouces"
"1732296995-39","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","400 000 F Cfa","Hp i7.16go+24""+4Go nvidia"
"1732296995-40","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","45 000 F Cfa","Core i3.wifi+19"
"1732296995-41","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","550 000 F Cfa","All In One Hp 200 G4 I5 10TH"
"1732297003-42","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297003-43","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Lenovo","65 000 F Cfa","Core i5.wifi.8go.500go.19"""
"1732297003-44","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","300 000 F Cfa","GAMER HP Z420.16GO.GTX1650"
"1732297003-45","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","ASUS","350 000 F Cfa","Gamer Asus GTX I7"
"1732297003-46","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","90 000 F Cfa","Core i7 23pouces"
"1732297003-47","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","180 000 F Cfa","Gaming I7.NVIDIA4Go.16GoRAM+.23"""
"1732297003-48","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Autre","350 000 F Cfa","GAMING ASUS NVIDIA GTX  I7 3.33GHZ"
"1732297003-49","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","Lenovo","410 000 F Cfa","Lenovo IDEAPAD 3 14ITL6 I5 10TH RAM 8 GO DISQUE 512 GO SSD"
"1732297003-50","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Dell","160 000 F Cfa","Portable Dell Core I7"
"1732297003-51","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","65 000 F Cfa","Core I5.8go.500go+ 19"""
"1732297003-52","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","HP","275 000 F Cfa","HP Core I5+19 NEUF"
"1732297012-53","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297012-54","https://www.expat-dakar.com/ordinateurs?page=240","Réconditionné","Lenovo","90 000 F Cfa","Core I7.8GO.22""wifi"
"1732297012-55","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","600 000 F Cfa","ALL IN ONE.Core I5.24""Tactile"
"1732297012-56","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","HP","45 000 F Cfa","Core i3 + 19 pouces"
"1732297012-57","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","225 000 F Cfa","Hp 6300 core i3+ 19"""
"1732297012-58","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","200 000 F Cfa","HP 6300 CORE2+19"
"1732297012-59","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","290 000 F Cfa","Hp 6300 core i7+ 19"""
"1732297012-60","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","HP","200 000 F Cfa","GAMER  Z420 Nvidia"
"1732297012-61","https://www.expat-dakar.com/ordinateurs?page=240","Réconditionné","HP","350 000 F Cfa","GAMER Z620.640 GTX 1650"
"1732297012-62","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","Dell","150 000 F Cfa","Dell core i7"
"1732297012-63","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","Dell","75 000 F Cfa","Dell 6410 core i5"
"1732297021-64","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297021-65","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","HP","125 000 F Cfa","HP ELITEBOOK 820 G3 I5"
"1732297021-66","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Acer","45 000 F Cfa","Ordinateur Core i3"
"1732297021-67","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","HP","240 000 F Cfa","Hp 6300 core I5+19"
"1732297021-68","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","Lenovo","490 000 F Cfa","LENOVO IP3 14ITL6 CORE I7 10TH"
"1732297021-69","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Lenovo","195 000 F Cfa","Core i7.NVIDIA 730.24"""
"1732297021-70","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","35 000 F Cfa","ORDINATEUR COMPLET"
"1732297021-71","https://www.expat-dakar.com/ordinateurs?page=239","Réconditionné","HP","25 000 F Cfa","ECRAN 22"" AVEC POSSIBILITE HDMI"
"1732297021-72","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","HP","35 000 F Cfa","ORDINATEUR COMPLET ECRAN 19 POUCES"
"1732297021-73","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","150 000 F Cfa","Dell I7 16go 1to 15.6"
"1732297021-74","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","170 000 F Cfa","DELL ALL IN ONE.I5.24"""
"1732297031-75","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297031-76","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","510 000 F Cfa","Ordinateur de bureau HP PRO 300 G6 MT I5 10TH"
"1732297031-77","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","550 000 F Cfa","HP 430 G8 I5 11Th"
"1732297031-78","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","485 000 F Cfa","All In One Hp 200 G4 Ecran 24'' pouces"
"1732297031-79","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","160 000 F Cfa","HP ProBook 640 G2 core i5"
"1732297031-80","https://www.expat-dakar.com/ordinateurs?page=238","Venant","Lenovo","80 000 F Cfa","unité central Lenovo i5"
"1732297031-81","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","140 000 F Cfa","Unité Centrale 3500 Pro, Intel Core I3 Ram 4 Go, 500 Go"
"1732297031-82","https://www.expat-dakar.com/ordinateurs?page=238","Venant","Dell","170 000 F Cfa","DELL latitude 74790 i5 8th Gen"
"1732297031-83","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","650 000 F Cfa","HP ELITEBOOK 830 G8 i5 11th Ram 16"
"1732297031-84","https://www.expat-dakar.com/ordinateurs?page=238","D'occasion","HP","90 000 F Cfa","Core i7.8go.500go.23"""
"1732297031-85","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","625 000 F Cfa","hp probook 450 G8 CORE I5 11TH"
"1732297040-86","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297040-87","https://www.expat-dakar.com/ordinateurs?page=237","Venant","Lenovo","125 000 F Cfa","Lenovo L430 i5"
"1732297040-88","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","650 000 F Cfa","All In One HP 440 G6"
"1732297040-89","https://www.expat-dakar.com/ordinateurs?page=237","Venant","HP","49 500 F Cfa","UNITE CENTRALE HP PRODESK DUAL CORE"
"1732297040-90","https://www.expat-dakar.com/ordinateurs?page=237","D'occasion","Dell","50 000 F Cfa","CORE I5.4GO.500GO.19"""
"1732297040-91","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","390 000 F Cfa","HP 15 Core i5.11eme"
"1732297040-92","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","Lenovo","730 000 F Cfa","LENOVO AIO V50A Tactile"
"1732297040-93","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","810 000 F Cfa","All In One Hp dp1037nh 24'' pouces Tactile"
"1732297040-94","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","Toshiba","18 000 F Cfa","RAM DDR3 pc & desktop"
"1732297040-95","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","850 000 F Cfa","Ordinateur Hp X360 14T-DY000 Ecran 14""Tactile + stylet"
"1732297040-96","https://www.expat-dakar.com/ordinateurs?page=237","Neuf","HP","510 000 F Cfa","Ordinateur de bureau ALL IN ONE hp aio df1063 i3 11TH"
"1732297049-97","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297049-98","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","HP","470 000 F Cfa","Ordinateur Hp Pavilion CS3153CL Ecran 15.6'' Pouces tactile"
"1732297049-99","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","ASUS","340 000 F Cfa","ASUS X543U I3 10TH"
"1732297049-100","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","HP","575 000 F Cfa","HP PAVILLON X360 15T-ER000 i5 11th tactile"
"1732297049-101","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","Lenovo","249 998 F Cfa","Lenovo V130 All In One Dual Core 4gb 1Tera"
"1732297049-102","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","Lenovo","320 000 F Cfa","Ordinateur Lenovo V15-IIL"
"1732297049-103","https://www.expat-dakar.com/ordinateurs?page=236","Venant","HP","70 000 F Cfa","Ordinateur de bureau HP PRODESK 400 G1 DUAL CORE"
"1732297049-104","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","HP","12 000 F Cfa","Hp Clavier + Souris Sans Fil CS700"
"1732297049-105","https://www.expat-dakar.com/ordinateurs?page=236","Neuf","HP","500 000 F Cfa","HP 14-cf2222nia i7 10th Ram 12Go Rom 1To Ecran 14"""
"1732297049-106","https://www.expat-dakar.com/ordinateurs?page=236","Venant","HP","70 000 F Cfa","Hp Probook 11 g2 tactile"
"1732297049-107","https://www.expat-dakar.com/ordinateurs?page=236","D'occasion","HP","75 000 F Cfa","ORDINATEUR COMPLET avec ONDULEUR+Wi-Fi"
"1732297057-108","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297057-109","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","169 000 F Cfa","LENOVO DUAL CORE DISQUE DUR 1000 GO RAM 4 GO"
"1732297057-110","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","510 000 F Cfa","Hp All In One df1063ny i3 11th gen Ram 4Go Rom 1To Ecran 24"""
"1732297057-111","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","485 000 F Cfa","All In One Hp 200 G4"
"1732297057-112","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","Lenovo","410 000 F Cfa","Ordinateur Lenovo Ideapad 3 14ITL6"
"1732297057-113","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","399 000 F Cfa","HP 240 G8  CORE I5"
"1732297057-114","https://www.expat-dakar.com/ordinateurs?page=235","Venant","HP","90 000 F Cfa","Ordinateur de bureau Hp 400G1"
"1732297057-115","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","710 000 F Cfa","All In One Hp DF1103D Rom 1To+256Go"
"1732297057-116","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","Dell","525 000 F Cfa","Dell Lattitude 5520 i5 11th Ram 16Go"
"1732297057-117","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","Lenovo","310 000 F Cfa","Ordinateur Lenovo E15 G2 cor i3"
"1732297057-118","https://www.expat-dakar.com/ordinateurs?page=235","Neuf","HP","550 000 F Cfa","All In One Hp  200 G4  Ecran 22"""
"1732297066-119","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297066-120","https://www.expat-dakar.com/ordinateurs?page=234","Réconditionné","Dell","400 000 F Cfa","GAMER DELL T7600. 7810 OU HP Z640"
"1732297066-121","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","HP","430 000 F Cfa","HP 250 G8 INTEL i5 10th"
"1732297066-122","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","Dell","540 000 F Cfa","Dell  vostro 3500 i7 11th 4.7GHZ"
"1732297066-123","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","Autre","7 000 F Cfa","Housse de protection Ordinateur ou Antichoc"
"1732297066-124","https://www.expat-dakar.com/ordinateurs?page=234","Venant","Lenovo","180 000 F Cfa","LENOVO T470 i5 RAM 16 GO"
"1732297066-125","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","Autre","20 000 F Cfa","Licence D'activation À Vie, Windows 11 Pro 1 PC"
"1732297066-126","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","Autre","15 000 F Cfa","Licence D'activation À Vie, Windows 10 Pro 1 PC"
"1732297066-127","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","HP","850 000 F Cfa","Ordinateur HP PAVILLON X360 14T-DY000"
"1732297066-128","https://www.expat-dakar.com/ordinateurs?page=234","Venant","HP","675 000 F Cfa","All In One Hp Pro 440 G6 i5 Ram 8Go Rom 512GB SSD Ecran 24"""
"1732297066-129","https://www.expat-dakar.com/ordinateurs?page=234","Neuf","HP","198 999 F Cfa","HP DUAL CORE"
"1732297075-130","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297075-131","https://www.expat-dakar.com/ordinateurs?page=233","Venant","Toshiba","45 000 F Cfa","TOSHIBA satellite core 2"
"1732297075-132","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","450 000 F Cfa","HP All in One 200 G4 i3 1TB 22 Pouces"
"1732297075-133","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","675 000 F Cfa","Hp Probook 450 G8 i7 11TH"
"1732297075-134","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","510 000 F Cfa","HP 250 G8 i7 11TH"
"1732297075-135","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","Dell","540 000 F Cfa","Dell Vostro 3500 I7 11th gen"
"1732297075-136","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","440 000 F Cfa","Ordinateur Hp 15-DY2703DX  15.6"" TACTILE"
"1732297075-137","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","Lenovo","590 000 F Cfa","Lenovo IdeaPad Flex 5 i5 11t Tactile + Stylet"
"1732297075-138","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","610 000 F Cfa","HP 840 G8 tactile i5 11th ram 32"
"1732297075-139","https://www.expat-dakar.com/ordinateurs?page=233","Neuf","HP","440 000 F Cfa","HP TACTILE 15-DY2703DX i5 11TH"
"1732297075-140","https://www.expat-dakar.com/ordinateurs?page=233","Réconditionné","Dell","350 000 F Cfa","GAMER GTX 1650"
"1732297083-141","https://www.expat-dakar.com/ordinateurs?page=232","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297083-142","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Dell","190 000 F Cfa","DELL 5550 i7 5TH RAM 16 GO"
"1732297083-143","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Lenovo","110 000 F Cfa","Lenovo T410 i5 ram 8"
"1732297083-144","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Apple","150 000 F Cfa","I MAC 2012"
"1732297083-145","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Toshiba","90 000 F Cfa","PC PORTABLE TOSHIBA Z930"
"1732297083-146","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Toshiba","100 000 F Cfa","PC PORTABLE TOSHIBA Z30"
"1732297083-147","https://www.expat-dakar.com/ordinateurs?page=232","Venant","HP","135 000 F Cfa","HP ELITE ONE 800 G2"
"1732297083-148","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Lenovo","175 000 F Cfa","Lenovo ThinkPad L460 i5"
"1732297083-149","https://www.expat-dakar.com/ordinateurs?page=232","Venant","Dell","145 000 F Cfa","DELL 7440 core i5"
"1732297083-150","https://www.expat-dakar.com/ordinateurs?page=232","Neuf","Lenovo","150 000 F Cfa","Lenovo ThinkPad L580 core i5 8th Gen"
"1732297083-151","https://www.expat-dakar.com/ordinateurs?page=232","Neuf","HP","700 000 F Cfa","HP ALL IN ONE 24 POUCES CORE i5 512GB SSD"
"1732297091-152","https://www.expat-dakar.com/ordinateurs?page=231","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297091-153","https://www.expat-dakar.com/ordinateurs?page=231","Venant","Dell","325 000 F Cfa","Dell vostro 5490 Gamer 10eme Generation"
"1732297091-154","https://www.expat-dakar.com/ordinateurs?page=231","Neuf","HP","630 000 F Cfa","Puissante Laptop Gamer Victus Ryzen"
"1732297091-155","https://www.expat-dakar.com/ordinateurs?page=231","Réconditionné","HP","32 500 F Cfa","PC portable 11,6 pouces tactile 32go + CM 32go RAM 2go"
"1732297091-156","https://www.expat-dakar.com/ordinateurs?page=231","Neuf","Lenovo","300 000 F Cfa","Lenovo V15-IIL CORE I3 10TH"
"1732297091-157","https://www.expat-dakar.com/ordinateurs?page=231","Venant","HP","185 000 F Cfa","hp folio 9470m i7 ram 8"
"1732297091-158","https://www.expat-dakar.com/ordinateurs?page=231","Venant","Dell","140 000 F Cfa","Dell 5540 i5 5th ram 8"
"1732297091-159","https://www.expat-dakar.com/ordinateurs?page=231","Venant","Dell","160 000 F Cfa","Dell 5540 i7 ram 8 15 pouces"
"1732297091-160","https://www.expat-dakar.com/ordinateurs?page=231","D'occasion","HP","40 000 F Cfa","CORE I3 AVEC ECRAN 19"""
"1732297091-161","https://www.expat-dakar.com/ordinateurs?page=231","Neuf","HP","1 000 000 F Cfa","GAMER ASUS I7 12 eme gen.RTX3070.8GB"
"1732297091-162","https://www.expat-dakar.com/ordinateurs?page=231","Neuf","HP","649 998 F Cfa","HP X360 TACTILE 14"" I7 .12 eme gen"
"1732297100-163","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297100-164","https://www.expat-dakar.com/ordinateurs?page=230","Réconditionné","Lenovo","75 000 F Cfa","X360.11,6.Hp Dell lenovo"
"1732297100-165","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","HP","535 000 F Cfa","Hp Probook 450 G9 core i5 12th gen"
"1732297100-166","https://www.expat-dakar.com/ordinateurs?page=230","Venant","Lenovo","60 000 F Cfa","Ordinateur Lenovo thinkcentre m700 mini"
"1732297100-167","https://www.expat-dakar.com/ordinateurs?page=230","Venant","Lenovo","200 000 F Cfa","All in on Lenovo M910z i5 tactile"
"1732297100-168","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","HP","610 000 F Cfa","Hp ProBook 450 G9 Core i7 12th gen"
"1732297100-169","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","HP","610 000 F Cfa","HP ProBook 440 G9 core i7 12th gen"
"1732297100-170","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","Lenovo","60 000 F Cfa","Lenovo  ThinkPad 11e"
"1732297100-171","https://www.expat-dakar.com/ordinateurs?page=230","Venant","HP","135 000 F Cfa","HP EliteBook 8470p i7 ram 8 3.0 GHZ"
"1732297100-172","https://www.expat-dakar.com/ordinateurs?page=230","Neuf","MSI","80 000 F Cfa","Boitier pc gamer"
"1732297100-173","https://www.expat-dakar.com/ordinateurs?page=230","Venant","Dell","40 000 F Cfa","Ordinateur Dell Wyse 3040 mini Pc"
"1732297109-174","https://www.expat-dakar.com/ordinateurs?page=229","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297109-175","https://www.expat-dakar.com/ordinateurs?page=229","Réconditionné","Lenovo","175 000 F Cfa","ALL IN ONE TACTILE 24"""
"1732297109-176","https://www.expat-dakar.com/ordinateurs?page=229","Réconditionné","Lenovo","150 000 F Cfa","Lenovo T440P CORE I7 14"""
"1732297109-177","https://www.expat-dakar.com/ordinateurs?page=229","Neuf","","25 000 F Cfa","Disque dur SSD 512GB"
"1732297109-178","https://www.expat-dakar.com/ordinateurs?page=229","Neuf","Lenovo","610 000 F Cfa","LENOVO THINKPAD E14 GEN 4"
"1732297109-179","https://www.expat-dakar.com/ordinateurs?page=229","D'occasion","HP","55 000 F Cfa","Ordinateur core i5"
"1732297109-180","https://www.expat-dakar.com/ordinateurs?page=229","D'occasion","HP","100 000 F Cfa","CORE I7.8GO.500GO.22"""
"1732297109-181","https://www.expat-dakar.com/ordinateurs?page=229","D'occasion","HP","65 000 F Cfa","CORE I5.8GO.500GO.20"""
"1732297109-182","https://www.expat-dakar.com/ordinateurs?page=229","Venant","HP","209 998 F Cfa","Ordinateur Hp elite X2 m7"
"1732297109-183","https://www.expat-dakar.com/ordinateurs?page=229","Réconditionné","HP","110 000 F Cfa","Ordinateur Portable Hp Elitebook 820 G3 i5 Tactile"
"1732297109-184","https://www.expat-dakar.com/ordinateurs?page=229","Neuf","Lenovo","610 000 F Cfa","LENOVO THINKPAD E15 GEN 4 core I5 12th gen"
"1732297118-185","https://www.expat-dakar.com/ordinateurs?page=228","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297118-186","https://www.expat-dakar.com/ordinateurs?page=228","Neuf","Autre","7 000 F Cfa","slim clavier sans fil + souris sans fil"
"1732297118-187","https://www.expat-dakar.com/ordinateurs?page=228","Venant","Lenovo","290 000 F Cfa","Gamer lenovo P50 i7 ram 16, 4 go dédié"
"1732297118-188","https://www.expat-dakar.com/ordinateurs?page=228","Venant","Dell","145 000 F Cfa","Gamer Dell 6540 i5 4th"
"1732297118-189","https://www.expat-dakar.com/ordinateurs?page=228","Venant","Lenovo","140 000 F Cfa","Lenovo E530 i7 ram 8, 15 pouces"
"1732297118-190","https://www.expat-dakar.com/ordinateurs?page=228","Neuf","Autre","25 000 F Cfa","Hub USB C 3 in 1 ou 8 in 1"
"1732297118-191","https://www.expat-dakar.com/ordinateurs?page=228","Neuf","HP","25 000 F Cfa","extender tp link n300 deux antenne"
"1732297118-192","https://www.expat-dakar.com/ordinateurs?page=228","Neuf","Lenovo","125 000 F Cfa","Ordinateur Lenovo L520 i7 ram 8"
"1732297118-193","https://www.expat-dakar.com/ordinateurs?page=228","Réconditionné","Lenovo","130 000 F Cfa","LENOVO T470"
